e+e- --> pi+pi-pi0chib0							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10877.8	-1.31E+00	5.85E-01	-1.16E-01	1.47E-02	1.38E-01	7.86E-02	1.83E+00
10882.8	0.1	-	-	-	-	-	-
10888.9	0.2	-	-	-	-	-	-
10898.3	1.49E+00	-1.83E-01	-1.16E+00	5.85E-01	1.95E+00	9.89E-02	4.23E-01
1.09E+04	0.2	-	-	-	-	-	-
10928.7	0.1	-	-	-	-	-	-
10957.5	0.2	-	-	-	-	-	-
10975.3	0.2	-	-	-	-	-	-
10990.4	0.2	-	-	-	-	-	-
11003.9	-5.82E+00	8.51E+00	-4.43E+00	9.66E-01	-1.34E+00	2.95E+01	2.31E+01
11014.8	0.2	-	-	-	-	-	-
11018.5	0.2	-	-	-	-	-	-
11020.8	0.2	-	-	-	-	-	-
							
e+e- --> omega chib2							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10701.0	0.2	-	-	-	-	-	-
10731.3	3.11E-01	-1.54E-02	-2.86E-03	2.26E-04	2.44E-01	4.47E-02	5.03E-01
10829.5	0.2	-	-	-	-	-	-
10848.9	0.3	-	-	-	-	-	-
10857.4	0.3	-	-	-	-	-	-
10877.8	0.3	-	-	-	-	-	-
10882.8	0.2	-	-	-	-	-	-
10888.9	2.80E+00	-1.01E+00	1.52E-01	-8.28E-03	2.12E-01	7.08E-03	2.81E-01
10898.3	0.1	-	-	-	-	-	-
1.09E+04	0.3	-	-	-	-	-	-
10928.7	0.3	-	-	-	-	-	-
10957.5	0.4	-	-	-	-	-	-
10975.3	-7.22E-01	1.92E-01	-2.39E-02	1.39E-03	4.63E-01	7.38E+00	1.60E+01
10990.4	0.3	-	-	-	-	-	-
11003.9	-1.39E-02	3.62E-02	-1.10E-02	9.07E-04	7.06E-01	1.96E-01	1.99E+00
11014.8	0.4	-	-	-	-	-	-
11018.5	0.4	-	-	-	-	-	-
11020.8	2.67E+00	-9.36E-01	1.37E-01	-7.26E-03	2.10E-01	7.45E-03	2.84E-01
							
							
e+e- --> (pi+pi-pi0)_non-omega chib0							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10653.0	0.7	-	-	-	-	-	-
10701.0	1.6	-	-	-	-	-	-
10731.3	4.1	-	-	-	-	-	-
10805.0	1.28E-01	-1.21E-02	-6.38E-04	5.96E-05	5.63E-01	2.40E+00	4.18E+00
10771.2	4.0	-	-	-	-	-	-
10829.5	3.03E-02	4.19E-04	-3.90E-05	4.86E-07	6.00E-02	1.17E-01	4.62E-01
10848.9	4.1	-	-	-	-	-	-
10857.4	4.2	-	-	-	-	-	-
10877.8	-5.18E-02	9.20E-04	-7.31E-06	3.50E-08	6.74E-03	1.95E-01	2.34E+00
10882.8	2.2	-	-	-	-	-	-
10888.9	3.9	-	-	-	-	-	-
